iter	F1	Logloss
0	0.9410115096	0.5941499117
1	0.9450116214	0.5063660031
2	0.9483875628	0.4365439684
3	0.9509542339	0.3797928892
4	0.951999765	0.3393416259
5	0.9522069946	0.3065335993
6	0.9535089126	0.2766513457
7	0.9545241042	0.2503888081
8	0.9540966655	0.2286696899
9	0.9549884913	0.2079530116
10	0.9552174816	0.1948075579
11	0.9568080556	0.1831622668
12	0.9563946549	0.1737152015
13	0.9568827218	0.1665494914
14	0.957518977	0.1599195251
15	0.9575075915	0.1515592367
16	0.9585728168	0.1467734518
17	0.9585521662	0.1380957896
18	0.9594967423	0.133464221
19	0.9600461697	0.1297737731
20	0.9601165895	0.1257203164
21	0.9608015405	0.1222502328
22	0.9612363411	0.1183004132
23	0.9616534816	0.1151397046
24	0.9621808745	0.1117079374
25	0.9631801773	0.1078198336
26	0.9634905421	0.1053943178
27	0.9642730556	0.1028172475
28	0.9649894468	0.1004921962
29	0.9655579019	0.0979603104
30	0.9658801706	0.09640824736
31	0.9661695732	0.09451820275
32	0.9665408535	0.0921634405
33	0.9671299094	0.09104079829
34	0.9672289631	0.08922818018
35	0.968174579	0.0877417051
36	0.9685787522	0.08584433396
37	0.9694591985	0.08414995546
38	0.9699499277	0.08321396668
39	0.970702475	0.08162099308
40	0.9716347045	0.08002876148
41	0.9723705378	0.07873354261
42	0.9729881622	0.07729237971
43	0.9734932774	0.07626655916
44	0.9740539432	0.07519476327
45	0.9748323419	0.07389701452
46	0.9756563395	0.07263095678
47	0.9761843824	0.07128191885
48	0.9765006085	0.07062871775
49	0.9769851913	0.06977204579
50	0.9773796292	0.06893022565
51	0.9781946698	0.06806699878
52	0.9787130044	0.06702261697
53	0.9790669883	0.06606685557
54	0.9796197462	0.06545035582
55	0.9801015891	0.06490335763
56	0.9803300365	0.06378073804
57	0.9807030307	0.06268045124
58	0.9812285252	0.06203506428
59	0.9817026425	0.06103958019
60	0.982134194	0.06021183883
61	0.9823778888	0.05945480817
62	0.9828235445	0.05862945526
63	0.9831586031	0.05763678567
64	0.983547419	0.05683520471
65	0.9837473941	0.0562678518
66	0.9842253708	0.05539034415
67	0.9845527826	0.0550275302
68	0.9848170283	0.05408900729
69	0.984952199	0.05354232459
70	0.9853275982	0.05280501953
71	0.9856623618	0.05230660701
72	0.9859120075	0.05174519999
73	0.9860363395	0.05140362143
74	0.9862642763	0.05094250365
75	0.9865411835	0.05053009477
76	0.9868576198	0.04994299477
77	0.9871654188	0.04915217202
78	0.9873657487	0.04869260086
79	0.987465839	0.04838389789
80	0.9877311581	0.04775826685
81	0.9880075816	0.04726903671
82	0.9882822756	0.04645384932
83	0.9885390676	0.04592169729
84	0.9886286179	0.04544450948
85	0.9888487479	0.04470000207
86	0.9891083105	0.04418541983
87	0.9893038342	0.04352689606
88	0.9895490665	0.04301315887
89	0.989915733	0.04233155687
90	0.9899936083	0.04175141627
91	0.990222328	0.04134895558
92	0.9904317818	0.04076209925
93	0.9906218738	0.04021347966
94	0.9908469945	0.03972742414
95	0.9910185379	0.03930041392
96	0.9912312196	0.03878538837
97	0.9914079243	0.03847387193
98	0.9914548738	0.03810766566
99	0.9915808343	0.0377024023
100	0.9917331713	0.03725220794
101	0.9919884429	0.03666303222
102	0.9921834748	0.03628311972
103	0.9922767342	0.03602584777
104	0.9924009281	0.03562924817
105	0.9926628198	0.03518829786
106	0.9928951613	0.03483943667
107	0.9931162537	0.03450523309
108	0.9932466321	0.03414823646
109	0.9933639949	0.0338548725
110	0.9934548526	0.03350556175
111	0.9935301983	0.03318740449
112	0.9936403499	0.03274134305
113	0.9937838759	0.03241653091
114	0.993953652	0.03209628157
115	0.9940265365	0.03179412504
116	0.9941614055	0.03152103093
117	0.9942231347	0.03125452468
118	0.9943267369	0.03098573845
119	0.9943643149	0.03066808292
120	0.9944217083	0.03047866913
121	0.9945316758	0.03023037744
122	0.9946067594	0.02992383538
123	0.9948051491	0.02945161539
124	0.9948732373	0.02920910258
125	0.9949923204	0.02893613556
126	0.9950739349	0.02878781167
127	0.9951751534	0.02850286165
128	0.9952896927	0.02827514112
129	0.9954747155	0.02796614317
130	0.9955386464	0.02773685144
131	0.9957454099	0.02727631557
132	0.9957937326	0.02706445085
133	0.995886274	0.02686295048
134	0.9959259511	0.02661384834
135	0.9960181938	0.0263630939
136	0.9960402259	0.02614420366
137	0.9960886457	0.0259154725
138	0.9961635846	0.02570316373
139	0.9962736138	0.02539029576
140	0.9963527932	0.02518507619
141	0.9965218919	0.0249062585
142	0.9966227641	0.02466161782
143	0.9966448111	0.02437386543
144	0.9967459038	0.024094113
145	0.9967921906	0.02390528129
146	0.9967812195	0.02376271883
147	0.9968582249	0.02358298448
